date;time;subject;blocknum;blockcode;trialcode;trialnum;values.situation;values.market_growthnumber;values.market_growth;values.market_concentrationnumber;values.market_concentration;values.market_sharenumber;values.market_share;values.relative_costnumber;values.relative_cost;values.relative_qualitynumber;values.relative_quality;values.standardizationnumber;values.standardization;response;latency
52216;11:42:04;SB;1;expé;stimulus;1;Situation n°31;4;Croissance du marché: Plutôt forte;4;Concentration du marché: Plutôt forte;3;Votre part de marché (rang): 3ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;1;Produits standardisés: Oui;5;26049
52216;11:42:04;SB;1;expé;stimulus;2;Situation n°32;5;Croissance du marché: Forte;4;Concentration du marché: Plutôt forte;4;Votre part de marché (rang): 4ème;1;Coût relatif de votre offre: Beaucoup plus faible que la concurrence;1;Qualité relative de votre offre: Très inférieure à la concurrence;2;Produits standardisés: Non;7;8428
52216;11:42:04;SB;1;expé;stimulus;3;Situation n°33;3;Croissance du marché: Moyenne;5;Concentration du marché: Forte;4;Votre part de marché (rang): 4ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;3;20273
52216;11:42:04;SB;1;expé;stimulus;4;Situation n°34;1;Croissance du marché: Faible;3;Concentration du marché: Moyenne;3;Votre part de marché (rang): 3ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;5;Qualité relative de votre offre: Très supérieure à la concurrence;1;Produits standardisés: Oui;3;14580
52216;11:42:04;SB;1;expé;stimulus;5;Situation n°35;4;Croissance du marché: Plutôt forte;4;Concentration du marché: Plutôt forte;3;Votre part de marché (rang): 3ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;1;Qualité relative de votre offre: Très inférieure à la concurrence;2;Produits standardisés: Non;5;15858
52216;11:42:04;SB;1;expé;stimulus;6;Situation n°36;4;Croissance du marché: Plutôt forte;3;Concentration du marché: Moyenne;2;Votre part de marché (rang): 2ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;5;Qualité relative de votre offre: Très supérieure à la concurrence;1;Produits standardisés: Oui;3;14829
52216;11:42:04;SB;1;expé;stimulus;7;Situation n°37;4;Croissance du marché: Plutôt forte;4;Concentration du marché: Plutôt forte;3;Votre part de marché (rang): 3ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;5;Qualité relative de votre offre: Très supérieure à la concurrence;2;Produits standardisés: Non;3;24138
52216;11:42:04;SB;1;expé;stimulus;8;Situation n°38;3;Croissance du marché: Moyenne;3;Concentration du marché: Moyenne;2;Votre part de marché (rang): 2ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;3;7841
52216;11:42:04;SB;1;expé;stimulus;9;Situation n°39;2;Croissance du marché: Plutôt faible;2;Concentration du marché: Plutôt faible;3;Votre part de marché (rang): 3ème;5;Coût relatif de votre offre: Beaucoup plus élevé que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;4;11717
52216;11:42:04;SB;1;expé;stimulus;10;Situation n°40;3;Croissance du marché: Moyenne;5;Concentration du marché: Forte;4;Votre part de marché (rang): 4ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;5;Qualité relative de votre offre: Très supérieure à la concurrence;2;Produits standardisés: Non;2;12814
52216;11:42:04;SB;1;expé;stimulus;11;Situation n°41;1;Croissance du marché: Faible;4;Concentration du marché: Plutôt forte;2;Votre part de marché (rang): 2ème;5;Coût relatif de votre offre: Beaucoup plus élevé que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;2;Produits standardisés: Non;1;27835
52216;11:42:04;SB;1;expé;stimulus;12;Situation n°42;2;Croissance du marché: Plutôt faible;3;Concentration du marché: Moyenne;2;Votre part de marché (rang): 2ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;1;Produits standardisés: Oui;6;19053
52216;11:42:04;SB;1;expé;stimulus;13;Situation n°43;3;Croissance du marché: Moyenne;2;Concentration du marché: Plutôt faible;3;Votre part de marché (rang): 3ème;2;Coût relatif de votre offre: Plus faible que la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;2;Produits standardisés: Non;7;9249
52216;11:42:04;SB;1;expé;stimulus;14;Situation n°44;3;Croissance du marché: Moyenne;3;Concentration du marché: Moyenne;5;Votre part de marché (rang): 5ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;3;13372
52216;11:42:04;SB;1;expé;stimulus;15;Situation n°45;1;Croissance du marché: Faible;2;Concentration du marché: Plutôt faible;4;Votre part de marché (rang): 4ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;1;Produits standardisés: Oui;5;56729
52216;11:42:04;SB;1;expé;stimulus;16;Situation n°46;3;Croissance du marché: Moyenne;5;Concentration du marché: Forte;3;Votre part de marché (rang): 3ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;1;Produits standardisés: Oui;5;15499
52216;11:42:04;SB;1;expé;stimulus;17;Situation n°47;2;Croissance du marché: Plutôt faible;5;Concentration du marché: Forte;2;Votre part de marché (rang): 2ème;5;Coût relatif de votre offre: Beaucoup plus élevé que la concurrence;1;Qualité relative de votre offre: Très inférieure à la concurrence;1;Produits standardisés: Oui;6;12436
52216;11:42:04;SB;1;expé;stimulus;18;Situation n°48;1;Croissance du marché: Faible;1;Concentration du marché: Faible;4;Votre part de marché (rang): 4ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;2;Produits standardisés: Non;4;13278
52216;11:42:04;SB;1;expé;stimulus;19;Situation n°49;4;Croissance du marché: Plutôt forte;2;Concentration du marché: Plutôt faible;1;Votre part de marché (rang): 1er;2;Coût relatif de votre offre: Plus faible que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;2;15833
52216;11:42:04;SB;1;expé;stimulus;20;Situation n°50;1;Croissance du marché: Faible;1;Concentration du marché: Faible;4;Votre part de marché (rang): 4ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;1;Produits standardisés: Oui;7;11109
52216;11:28:01;SB;1;expé;stimulus;1;Situation n°16;4;Croissance du marché: Plutôt forte;4;Concentration du marché: Plutôt forte;3;Votre part de marché (rang): 3ème;2;Coût relatif de votre offre: Plus faible que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;4;32102
52216;11:28:01;SB;1;expé;stimulus;2;Situation n°17;4;Croissance du marché: Plutôt forte;2;Concentration du marché: Plutôt faible;5;Votre part de marché (rang): 5ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;1;Produits standardisés: Oui;5;21344
52216;11:28:01;SB;1;expé;stimulus;3;Situation n°18;5;Croissance du marché: Forte;1;Concentration du marché: Faible;3;Votre part de marché (rang): 3ème;2;Coût relatif de votre offre: Plus faible que la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;2;Produits standardisés: Non;7;23936
52216;11:28:01;SB;1;expé;stimulus;4;Situation n°19;4;Croissance du marché: Plutôt forte;5;Concentration du marché: Forte;4;Votre part de marché (rang): 4ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;2;25375
52216;11:28:01;SB;1;expé;stimulus;5;Situation n°20;4;Croissance du marché: Plutôt forte;3;Concentration du marché: Moyenne;5;Votre part de marché (rang): 5ème;2;Coût relatif de votre offre: Plus faible que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;7;30821
