date;time;subject;blocknum;blockcode;trialcode;trialnum;values.situation;values.market_growthnumber;values.market_growth;values.market_concentrationnumber;values.market_concentration;values.market_sharenumber;values.market_share;values.relative_costnumber;values.relative_cost;values.relative_qualitynumber;values.relative_quality;values.standardizationnumber;values.standardization;response;latency
52416;21:31:44;TM;1;expé;stimulus;1;Situation n°26;3;Croissance du marché: Moyenne;1;Concentration du marché: Faible;1;Votre part de marché (rang): 1er;1;Coût relatif de votre offre: Beaucoup plus faible que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;3;48459
52416;21:31:44;TM;1;expé;stimulus;2;Situation n°27;4;Croissance du marché: Plutôt forte;3;Concentration du marché: Moyenne;4;Votre part de marché (rang): 4ème;2;Coût relatif de votre offre: Plus faible que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;2;34668
52416;21:31:44;TM;1;expé;stimulus;3;Situation n°28;2;Croissance du marché: Plutôt faible;3;Concentration du marché: Moyenne;1;Votre part de marché (rang): 1er;5;Coût relatif de votre offre: Beaucoup plus élevé que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;2;26802
52416;21:31:44;TM;1;expé;stimulus;4;Situation n°29;1;Croissance du marché: Faible;2;Concentration du marché: Plutôt faible;2;Votre part de marché (rang): 2ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;2;Produits standardisés: Non;4;35528
52416;21:31:44;TM;1;expé;stimulus;5;Situation n°30;5;Croissance du marché: Forte;4;Concentration du marché: Plutôt forte;3;Votre part de marché (rang): 3ème;1;Coût relatif de votre offre: Beaucoup plus faible que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;2;Produits standardisés: Non;5;18104
52416;21:31:44;TM;1;expé;stimulus;6;Situation n°31;4;Croissance du marché: Plutôt forte;4;Concentration du marché: Plutôt forte;3;Votre part de marché (rang): 3ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;1;Produits standardisés: Oui;6;11144
52416;21:31:44;TM;1;expé;stimulus;7;Situation n°32;5;Croissance du marché: Forte;4;Concentration du marché: Plutôt forte;4;Votre part de marché (rang): 4ème;1;Coût relatif de votre offre: Beaucoup plus faible que la concurrence;1;Qualité relative de votre offre: Très inférieure à la concurrence;2;Produits standardisés: Non;7;64527
52416;21:31:44;TM;1;expé;stimulus;8;Situation n°33;3;Croissance du marché: Moyenne;5;Concentration du marché: Forte;4;Votre part de marché (rang): 4ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;3;83928
52416;21:31:44;TM;1;expé;stimulus;9;Situation n°34;1;Croissance du marché: Faible;3;Concentration du marché: Moyenne;3;Votre part de marché (rang): 3ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;5;Qualité relative de votre offre: Très supérieure à la concurrence;1;Produits standardisés: Oui;3;138668
52416;21:31:44;TM;1;expé;stimulus;10;Situation n°35;4;Croissance du marché: Plutôt forte;4;Concentration du marché: Plutôt forte;3;Votre part de marché (rang): 3ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;1;Qualité relative de votre offre: Très inférieure à la concurrence;2;Produits standardisés: Non;4;8622
52416;21:31:44;TM;1;expé;stimulus;11;Situation n°36;4;Croissance du marché: Plutôt forte;3;Concentration du marché: Moyenne;2;Votre part de marché (rang): 2ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;5;Qualité relative de votre offre: Très supérieure à la concurrence;1;Produits standardisés: Oui;3;339461
52416;21:31:44;TM;1;expé;stimulus;12;Situation n°37;4;Croissance du marché: Plutôt forte;4;Concentration du marché: Plutôt forte;3;Votre part de marché (rang): 3ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;5;Qualité relative de votre offre: Très supérieure à la concurrence;2;Produits standardisés: Non;4;92369
52416;21:31:44;TM;1;expé;stimulus;13;Situation n°38;3;Croissance du marché: Moyenne;3;Concentration du marché: Moyenne;2;Votre part de marché (rang): 2ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;5;26014
52416;21:31:44;TM;1;expé;stimulus;14;Situation n°39;2;Croissance du marché: Plutôt faible;2;Concentration du marché: Plutôt faible;3;Votre part de marché (rang): 3ème;5;Coût relatif de votre offre: Beaucoup plus élevé que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;5;14073
52416;21:31:44;TM;1;expé;stimulus;15;Situation n°40;3;Croissance du marché: Moyenne;5;Concentration du marché: Forte;4;Votre part de marché (rang): 4ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;5;Qualité relative de votre offre: Très supérieure à la concurrence;2;Produits standardisés: Non;2;100167
52416;21:31:44;TM;1;expé;stimulus;16;Situation n°41;1;Croissance du marché: Faible;4;Concentration du marché: Plutôt forte;2;Votre part de marché (rang): 2ème;5;Coût relatif de votre offre: Beaucoup plus élevé que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;2;Produits standardisés: Non;4;69240
52416;21:31:44;TM;1;expé;stimulus;17;Situation n°42;2;Croissance du marché: Plutôt faible;3;Concentration du marché: Moyenne;2;Votre part de marché (rang): 2ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;1;Produits standardisés: Oui;6;31646
52416;21:31:44;TM;1;expé;stimulus;18;Situation n°43;3;Croissance du marché: Moyenne;2;Concentration du marché: Plutôt faible;3;Votre part de marché (rang): 3ème;2;Coût relatif de votre offre: Plus faible que la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;2;Produits standardisés: Non;1;23572
52416;21:31:44;TM;1;expé;stimulus;19;Situation n°44;3;Croissance du marché: Moyenne;3;Concentration du marché: Moyenne;5;Votre part de marché (rang): 5ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;5;14216
52416;21:31:44;TM;1;expé;stimulus;20;Situation n°45;1;Croissance du marché: Faible;2;Concentration du marché: Plutôt faible;4;Votre part de marché (rang): 4ème;4;Coût relatif de votre offre: Plus élevé que la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;1;Produits standardisés: Oui;5;25971
52416;21:31:44;TM;1;expé;stimulus;21;Situation n°46;3;Croissance du marché: Moyenne;5;Concentration du marché: Forte;3;Votre part de marché (rang): 3ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;1;Produits standardisés: Oui;4;12627
52416;21:31:44;TM;1;expé;stimulus;22;Situation n°47;2;Croissance du marché: Plutôt faible;5;Concentration du marché: Forte;2;Votre part de marché (rang): 2ème;5;Coût relatif de votre offre: Beaucoup plus élevé que la concurrence;1;Qualité relative de votre offre: Très inférieure à la concurrence;1;Produits standardisés: Oui;5;111771
52416;21:31:44;TM;1;expé;stimulus;23;Situation n°48;1;Croissance du marché: Faible;1;Concentration du marché: Faible;4;Votre part de marché (rang): 4ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;2;Produits standardisés: Non;1;154695
52416;21:31:44;TM;1;expé;stimulus;24;Situation n°49;4;Croissance du marché: Plutôt forte;2;Concentration du marché: Plutôt faible;1;Votre part de marché (rang): 1er;2;Coût relatif de votre offre: Plus faible que la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;3;200457
52416;21:31:44;TM;1;expé;stimulus;25;Situation n°50;1;Croissance du marché: Faible;1;Concentration du marché: Faible;4;Votre part de marché (rang): 4ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;1;Produits standardisés: Oui;7;19944
52316;15:27:29;TM;3;expé;stimulus;1;Situation n°1;5;Croissance du marché: Forte;5;Concentration du marché: Forte;3;Votre part de marché (rang): 3ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;3;Qualité relative de votre offre: Equivalente à la concurrence;2;Produits standardisés: Non;5;51736
52316;15:27:29;TM;3;expé;stimulus;2;Situation n°2;2;Croissance du marché: Plutôt faible;3;Concentration du marché: Moyenne;2;Votre part de marché (rang): 2ème;2;Coût relatif de votre offre: Plus faible que la concurrence;2;Qualité relative de votre offre: Inférieure à la concurrence;2;Produits standardisés: Non;4;21621
52316;15:27:29;TM;3;expé;stimulus;3;Situation n°3;3;Croissance du marché: Moyenne;2;Concentration du marché: Plutôt faible;3;Votre part de marché (rang): 3ème;3;Coût relatif de votre offre: Equivalent à celui de la concurrence;4;Qualité relative de votre offre: Supérieure à la concurrence;1;Produits standardisés: Oui;2;367657
